"Label (Grouping)","Bronx borough, Bronx County, New York!!Total!!Estimate","Bronx borough, Bronx County, New York!!Total!!Margin of Error","Bronx borough, Bronx County, New York!!Percent!!Estimate","Bronx borough, Bronx County, New York!!Percent!!Margin of Error","Bronx borough, Bronx County, New York!!Male!!Estimate","Bronx borough, Bronx County, New York!!Male!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Male!!Estimate","Bronx borough, Bronx County, New York!!Percent Male!!Margin of Error","Bronx borough, Bronx County, New York!!Female!!Estimate","Bronx borough, Bronx County, New York!!Female!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Female!!Estimate","Bronx borough, Bronx County, New York!!Percent Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent!!Estimate","Brooklyn borough, Kings County, New York!!Percent!!Margin of Error","Brooklyn borough, Kings County, New York!!Male!!Estimate","Brooklyn borough, Kings County, New York!!Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Male!!Estimate","Brooklyn borough, Kings County, New York!!Percent Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Female!!Estimate","Brooklyn borough, Kings County, New York!!Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Female!!Estimate","Brooklyn borough, Kings County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error","Queens borough, Queens County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Margin of Error","Queens borough, Queens County, New York!!Percent!!Estimate","Queens borough, Queens County, New York!!Percent!!Margin of Error","Queens borough, Queens County, New York!!Male!!Estimate","Queens borough, Queens County, New York!!Male!!Margin of Error","Queens borough, Queens County, New York!!Percent Male!!Estimate","Queens borough, Queens County, New York!!Percent Male!!Margin of Error","Queens borough, Queens County, New York!!Female!!Estimate","Queens borough, Queens County, New York!!Female!!Margin of Error","Queens borough, Queens County, New York!!Percent Female!!Estimate","Queens borough, Queens County, New York!!Percent Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent!!Estimate","Staten Island borough, Richmond County, New York!!Percent!!Margin of Error","Staten Island borough, Richmond County, New York!!Male!!Estimate","Staten Island borough, Richmond County, New York!!Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Male!!Estimate","Staten Island borough, Richmond County, New York!!Percent Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Female!!Estimate","Staten Island borough, Richmond County, New York!!Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Female!!Estimate","Staten Island borough, Richmond County, New York!!Percent Female!!Margin of Error"
"Total population","1,424,948","*****","(X)","(X)","675,323","±831","(X)","(X)","749,625","±831","(X)","(X)","2,641,052","*****","(X)","(X)","1,257,404","±829","(X)","(X)","1,383,648","±829","(X)","(X)","1,576,876","*****","(X)","(X)","750,680","±383","(X)","(X)","826,196","±383","(X)","(X)","2,331,143","*****","(X)","(X)","1,140,508","±492","(X)","(X)","1,190,635","±492","(X)","(X)","493,494","*****","(X)","(X)","242,903","±1,077","(X)","(X)","250,591","±1,077","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","95,160","±283","6.7%","±0.1","48,488","±257","7.2%","±0.1","46,672","±192","6.2%","±0.1","177,511","±654","6.7%","±0.1","90,344","±539","7.2%","±0.1","87,167","±585","6.3%","±0.1","70,318","±297","4.5%","±0.1","35,882","±292","4.8%","±0.1","34,436","±84","4.2%","±0.1","131,466","±169","5.6%","±0.1","67,194","±130","5.9%","±0.1","64,272","±114","5.4%","±0.1","26,895","±5","5.4%","±0.1","14,610","±757","6.0%","±0.3","12,285","±757","4.9%","±0.3"
"        5 to 9 years","94,862","±5,277","6.7%","±0.4","49,695","±4,343","7.4%","±0.6","45,167","±3,771","6.0%","±0.5","162,940","±4,960","6.2%","±0.2","82,545","±4,015","6.6%","±0.3","80,395","±4,281","5.8%","±0.3","60,983","±5,794","3.9%","±0.4","31,422","±3,619","4.2%","±0.5","29,561","±3,610","3.6%","±0.4","126,840","±6,119","5.4%","±0.3","66,655","±3,869","5.8%","±0.3","60,185","±3,659","5.1%","±0.3","27,727","±2,198","5.6%","±0.4","14,231","±1,984","5.9%","±0.8","13,496","±1,622","5.4%","±0.6"
"        10 to 14 years","101,764","±5,301","7.1%","±0.4","50,594","±4,280","7.5%","±0.6","51,170","±3,866","6.8%","±0.5","167,154","±5,000","6.3%","±0.2","87,175","±4,054","6.9%","±0.3","79,979","±4,333","5.8%","±0.3","64,680","±5,810","4.1%","±0.4","32,197","±3,628","4.3%","±0.5","32,483","±3,643","3.9%","±0.4","131,198","±6,139","5.6%","±0.3","66,049","±3,886","5.8%","±0.3","65,149","±3,663","5.5%","±0.3","32,898","±2,198","6.7%","±0.4","16,977","±1,984","7.0%","±0.8","15,921","±1,622","6.4%","±0.6"
"        15 to 19 years","95,093","±451","6.7%","±0.1","48,859","±693","7.2%","±0.1","46,234","±648","6.2%","±0.1","142,965","±276","5.4%","±0.1","72,713","±281","5.8%","±0.1","70,252","±245","5.1%","±0.1","69,161","±1,587","4.4%","±0.1","30,903","±1,260","4.1%","±0.2","38,258","±788","4.6%","±0.1","119,236","±317","5.1%","±0.1","61,585","±297","5.4%","±0.1","57,651","±241","4.8%","±0.1","29,617","±847","6.0%","±0.2","15,577","±691","6.4%","±0.3","14,040","±942","5.6%","±0.4"
"        20 to 24 years","96,767","±917","6.8%","±0.1","48,656","±608","7.2%","±0.1","48,111","±495","6.4%","±0.1","148,004","±255","5.6%","±0.1","71,351","±217","5.7%","±0.1","76,653","±149","5.5%","±0.1","98,395","±1,595","6.2%","±0.1","45,164","±1,235","6.0%","±0.2","53,231","±803","6.4%","±0.1","124,025","±1,191","5.3%","±0.1","61,515","±1,000","5.4%","±0.1","62,510","±457","5.3%","±0.1","30,335","±951","6.1%","±0.2","15,634","±568","6.4%","±0.2","14,701","±768","5.9%","±0.3"
"        25 to 29 years","106,661","±420","7.5%","±0.1","51,749","±305","7.7%","±0.1","54,912","±263","7.3%","±0.1","218,187","±370","8.3%","±0.1","102,879","±300","8.2%","±0.1","115,308","±276","8.3%","±0.1","156,206","±279","9.9%","±0.1","73,471","±201","9.8%","±0.1","82,735","±174","10.0%","±0.1","165,389","±481","7.1%","±0.1","81,352","±461","7.1%","±0.1","84,037","±298","7.1%","±0.1","31,521","±113","6.4%","±0.1","15,996","±114","6.6%","±0.1","15,525","±3","6.2%","±0.1"
"        30 to 34 years","109,735","±408","7.7%","±0.1","53,510","±307","7.9%","±0.1","56,225","±251","7.5%","±0.1","240,254","±495","9.1%","±0.1","117,464","±297","9.3%","±0.1","122,790","±423","8.9%","±0.1","157,998","±244","10.0%","±0.1","78,481","±183","10.5%","±0.1","79,517","±165","9.6%","±0.1","183,667","±715","7.9%","±0.1","92,904","±466","8.1%","±0.1","90,763","±380","7.6%","±0.1","33,901","±188","6.9%","±0.1","17,053","±189","7.0%","±0.1","16,848","±4","6.7%","±0.1"
"        35 to 39 years","91,107","±4,255","6.4%","±0.3","42,733","±3,337","6.3%","±0.5","48,374","±3,000","6.5%","±0.4","204,561","±7,380","7.7%","±0.3","102,397","±4,612","8.1%","±0.4","102,164","±4,596","7.4%","±0.3","123,982","±6,639","7.9%","±0.4","64,216","±4,332","8.6%","±0.6","59,766","±4,545","7.2%","±0.6","167,842","±5,572","7.2%","±0.2","85,857","±4,134","7.5%","±0.4","81,985","±3,288","6.9%","±0.3","28,289","±2,372","5.7%","±0.5","14,613","±1,764","6.0%","±0.7","13,676","±1,572","5.5%","±0.6"
"        40 to 44 years","92,817","±4,460","6.5%","±0.3","43,685","±3,318","6.5%","±0.5","49,132","±3,212","6.6%","±0.4","172,531","±7,390","6.5%","±0.3","80,853","±4,650","6.4%","±0.4","91,678","±4,580","6.6%","±0.3","106,096","±6,643","6.7%","±0.4","51,099","±4,327","6.8%","±0.6","54,997","±4,571","6.7%","±0.6","150,238","±5,605","6.4%","±0.2","74,342","±4,179","6.5%","±0.4","75,896","±3,265","6.4%","±0.3","34,089","±2,368","6.9%","±0.5","16,081","±1,756","6.6%","±0.7","18,008","±1,578","7.2%","±0.6"
"        45 to 49 years","82,552","±507","5.8%","±0.1","38,069","±254","5.6%","±0.1","44,483","±254","5.9%","±0.1","154,614","±495","5.9%","±0.1","72,861","±207","5.8%","±0.1","81,753","±369","5.9%","±0.1","94,288","±172","6.0%","±0.1","46,577","±143","6.2%","±0.1","47,711","±90","5.8%","±0.1","147,977","±318","6.3%","±0.1","72,945","±189","6.4%","±0.1","75,032","±237","6.3%","±0.1","30,943","±4","6.3%","±0.1","15,158","±3","6.2%","±0.1","15,785","±3","6.3%","±0.1"
"        50 to 54 years","88,230","±4","6.2%","±0.1","41,018","±4","6.1%","±0.1","47,212","±4","6.3%","±0.1","152,674","±435","5.8%","±0.1","71,525","±98","5.7%","±0.1","81,149","±432","5.9%","±0.1","98,436","±263","6.2%","±0.1","49,464","±252","6.6%","±0.1","48,972","±82","5.9%","±0.1","158,686","±602","6.8%","±0.1","78,655","±554","6.9%","±0.1","80,031","±225","6.7%","±0.1","34,348","±369","7.0%","±0.1","16,596","±4","6.8%","±0.1","17,752","±370","7.1%","±0.1"
"        55 to 59 years","90,490","±3,726","6.4%","±0.3","42,724","±2,718","6.3%","±0.4","47,766","±2,857","6.4%","±0.4","150,352","±4,476","5.7%","±0.2","69,873","±3,651","5.6%","±0.3","80,479","±3,171","5.8%","±0.2","90,329","±5,490","5.7%","±0.3","44,475","±4,221","5.9%","±0.6","45,854","±3,515","5.6%","±0.4","161,826","±5,454","6.9%","±0.2","79,862","±3,749","7.0%","±0.3","81,964","±3,724","6.9%","±0.3","31,775","±2,827","6.4%","±0.6","16,368","±2,033","6.7%","±0.8","15,407","±1,938","6.1%","±0.8"
