,productCode,star,review
0,B09G95MCDT,5,"
Love this iPhone I have found the battery life good I have also found the sound excellent when on the phone and listening to music and books however I am disappointed that I cannot get the Kindle app to work not the fault of the phone but Amazon who need to rectify this
"
1,B09G95MCDT,5,"
Before we start, apologies for the long review, but I hope it's useful! This is a resubmission of my previous review, as for some reason it has disappeared from Amazon….So another year and another iPhone has launched. Now, I have to admit I didn't intend to buy this year, having had the 12 until now. However having my phone stolen, it had to be replaced.This years range is a mild revision over last year but that, in this case, is a good thing! So let’s break it down.Design:This years design borrows a lot from last years, and I think that’s a positive! Now, I know it’s subjective, but one of the things I like about the angular shaping of the 12 & 13 is that they feel less inclined to slip out of your hand. They feel well weighted, light but not excessively so and the anodised aluminium frame feels great in the hand. They also have the benefit of being more durable than previous models due to stronger glass, but it’s always suggested to use a screen protector.As a side note to the design, if you are looking at the 12 cases and wonder if they will fit, I’m afraid to say that they won’t. The camera hump is a slightly different size and has been moved on the back. Just something to be aware of before your new device comes.Performance:This is a area that I can’t say much about, but that’s not a negative. Apple devices, for better and worse, are always faster, smoother and more fluid than their android counterparts. I still have my first gen iPhone SE in the drawer, which I kept as a back up. It’s still snappy, quick and capable of keeping up with the pace of use, even today, so I expect this device to be no different. Scrolling and app opening/closing is buttery smooth, memory is more than adequate and overall it’s a good showing.Battery life:This is one of the areas where the 13 family really takes the lead above it’s previous iterations. Compared to my 12, I am getting at least 20% more screen on time per charge, which is very impressive. In addition, charging time appears to have dropped slightly over last years model, hitting 100% from zero about 10 percent faster than last year.Cameras:Once again, this is a small improvement, but considering the performance ability of the 12’s camera array, we are onto another winner. The main sensor now contains an improved optical image stabilisation system, which now stabilises the whole image sensor and not just the lens. This benefits the user greatly in night shots and if you’re a little shaky when holding the device. The wide angle lens is also a couple of degrees wider than last year. The image processor pulls out more image noise than the 12 too. A solid result.Warranty, support and repairs:One area that stands ahead of most is in the availability of support and repairs. All Apple stores have the ability to complete basic repairs in store, with more complicated ones done off site, can offer software support on site and can even arrange exchanges and replacements. If your phone develops a fault that’s covered under warranty, pop into store and they can sort it out. AppleCare takes this a step further. Say you crack your screen and you have AppleCare…..book a slot at your local store, pay a small excess of £29 (correct at time of writing) and they will replace your screen while you wait. If it can’t be repaired, a new device will be given to you. No other manufacturer offers this level of personal support without sending your phone off for repair, especially if you want it to be done by an official repair centre.Value and competition:I am not someone who buys one brand blindly, rather I choose to select each model by its own merits. Android or Apple, I’m open to all. However, at the 13’s price point, I think it’s far better than it’s main competition, which is the Samsung Galaxy S22. It has stronger battery life, better performance, a more premium build, less lenses but better image quality and overall just takes the crown for the middle to upper middle range for the year. I’m very impressed and hope to keep this one for a few years until something really opens my eyes or turns my head.So there’s a touch into the key areas of the iPhone 13. I hope this was useful to you. Take care and enjoy your summer!
"
2,B09G95MCDT,4,"
Good to have monthly payments but so quickly out of date
"
3,B09G95MCDT,5,"
Nice looking phone there seems to be a lot of tin round the sides have to get use to this as my older phone has very little metal in it.
"
4,B09G95MCDT,4,"
Phone is as expected from an iPhone 13. Not much exciting given Apple aren’t really changing things.My frustration is with the exchange service.I submitted an exchange for my old iPhone X and stated the screen was cracked and was informed unless any other issue I would receive £50.I sent the phone in, it was then returned saying I wouldn’t receive the £50 as the screen was cracked.I have no issue with the reason, however do have issue that I communicated it was cracked and bought the new phone on the basis of an exchange.I’m now unable to exchange the phone elsewhere so effectively have lost £50 due to the lack of commitment.I suggest customers should submit pictures for this service to then commit to an exchange rather than wasting my timeVery poor customer service!
"
5,B09G95MCDT,5,"
New product and prompt delivery!
"
6,B09G95MCDT,5,"
Son's present from Santa
"
7,B09G95MCDT,4,"
iPhones have a quality feel to them. This one is no different.  The screen is larger vs the phone size than my last iPhone (7) but this is due to the removal of the ‘thumb’ button.  I have to say I did prefer the fingerprint to the Face ID. And in the world of masks (which I still have to use at work) I don’t feel it’s as secure.  Battery life is much better, possibly just because it’s a new phone though.  Storage is also much better.  Other than that, if you’ve owned an iPhone it’s much the same.  If you’re an android person then you’ll probably hate it, else you’d have an iPhone already (and vice Versa!)
"
8,B09G95MCDT,5,"
My previous phone was an iPhone X and when it finally ceased to work, I invested in an iPhone 13.  It’s only been a couple of weeks since my purchase but battery appears to last longer, camera is excellent !  The processor is faster and the phone is 5G.It’s early days but am very happy.
"
9,B09G95MCDT,5,"
iPhone, bought as present so can’t really write recommendations but it’s an iPhone.Very expensive but it’s cheaper on Amazon so that’s a bonus
"
10,B09G95MCDT,5,"
Second one l have bought for my wife good price
"
11,B09G95MCDT,5,"
As described but it’s a Christmas present for my son.  Pay in 5 is a great service for more expensive items.
"
12,B09G95MCDT,5,"
So far like everything about this phone, first time for an iPhone and am very pleased, read several reviews before deciding which one to go for and this is the one for me.
"
13,B09G95MCDT,4,"
To tell you the truth I do miss my android phone and I would have gotten it rather than the iPhone. I simply chose this because of the price it was more affordable than the Samsung S22 ultra, and I couldn’t wait any longer. If you’re an iPhone lover which clearly I’m not you will enjoy this phone
"
14,B09G95MCDT,5,"
Good battery life
"
15,B09G95MCDT,4,"
Pleasesedwith the phone
"
16,B09G95MCDT,4,"
The blue is truly beautiful and the square edges are great compared to the boring round version s one earlier phones.The operating system is archaic but Apple doesn’t care as it makes so much money. I knew about the cinematic effect on video on this but disregarded it as the usual marketing feature that people get sucked into. It It is anything but. The effect is superb and holding the phone is almost like having a gimbalQuality of detail on wide angle is appalling. It’s like a very heavily compressed jpg from the nineties. I was going to have a mini but obviously cannot compare as I didn’t buy both. Happy with this.
"
17,B09G95MCDT,5,"
I thought it would be more difficult to get used to the new phone and how it works but it was simple enough to adapt from my old iPhone.
"
18,B09G95MCDT,5,"
Although like many ex android users I originally scorned and balked at the idea of paying hundreds of pounds for a phone, I  am now converted. There’s no going back once you’ve got used to the quality of an iPhone. The speed and ease of use is world class and Android can stick it where the sun shines, I’m staying with Apple.
"
19,B09G95MCDT,4,"
Upgraded from iPhone XR, no difference in speed but picture quality is much better on this. If you never had iPhone before than highly recommend
"
20,B09G95MCDT,5,"
It irritated me that my iPhone XS was not 5G. I decided to get an iPhone 13 and was glad I did. Not only is the battery life much improved, the display is clearer and brighter, but I get 5G!  The the price was not reduced (I bought it after the iPhone 14 was available) but the Amazon 12 months Interest Free helped soften (the price) shock!
"
21,B09G95MCDT,5,"
Excellent delivery.Parcel was with no any damage.Thanks you Amazon for my new iPhone ⭐️
"
22,B09G95MCDT,5,"
Happy with this phone. Also, it was available to purchase + pay monthly, interest free with Amazon.
"
23,B09G95MCDT,5,"
It’s an iPhone it’s the same as every phone, if you complain that of this then don’t upgrade every single year… it’s that simple.Last phone was the XR there are loads of amazing changes between both phone. Battery life is excellent.
"
24,B09G95MCDT,5,"
Upgraded from a iPhone 8 and I couldn’t be happier. Portrait mode is unbelievably good.Battery life seems absolutely amazing !
"
25,B09G95MCDT,5,"
An Android user since owning an HTC Hero in 2009, I’ve switched to an iPhone 13.I’d been very happy with a Samsung Galaxy S6 and then S8, both bought around a year after release at much reduced price. This time round, last year’s S21 was still pretty expensive and the reviews were disappointing. The new iPhone 13 got great reviews for its camera, reasonable reviews for battery life and it’s not too big (almost the same as my S8) so I switched!I’ve had it for 3 months and I’m very happy with it. It’s easy to use,very responsive and the camera is great. I especially like that I can access the camera with a single left swipe from the Lock Screen. Battery life is good so far, I’m a light user, so I can get two days of use between charges. Hopefully that’ll continue.
"
26,B09G95MCDT,5,"
I am happy with my buy and good value for money. It is exactly as the product description.
"
27,B09G95MCDT,5,"
Coming from an annoying Galaxy A12 this is day and night. Fantastic premium quality phone I wish I had of got one sooner. Camera and videos are amazing. Was worried about changing to iOS and iPhone but very pleasantly surprised
"
28,B09G95MCDT,5,"
Great value for money at this time of the year considering the 14 has just dropped. Battery so far as well as performance has been great. It's a little bit smaller than expected but none the less still very much worth it.
"
29,B09G95MCDT,5,"
What’s not to like smooth as silk the processing is so fast battery life is greatWhat more can I say
"
30,B09G95MCDT,3,"
Speaker has noise when on call.
"
31,B09G95MCDT,3,"
I decided after many years of Samsung I would try an iPhone again as I had a mac and know it integrates easier. The last iPhone I had was literally 10 years ago so was excited to see how they had progressed. Of course it is very impressive. The camera is amazing and the cinematic mode is mindblowing and of course it’s has loads of amazing features etc but it didn’t take long to start hitting walls where apps were concerned. Stuff that was easy and free and sometimes standard features on my Samsung either didn’t exist or you had to pay for it. Also some usability is not as user friendly as Samsung. I often felt when I was using my Samsung it was like using a laptop. You could browse between pages seamlessly and minimise apps and move between them too. But apple still haven’t been able to manage that. Lots of other stuff like this too. I will probably keep for a year just because I have committed to it now and it might grow on me. However it’s likely I will go back to a Samsung when I can
"
32,B09G95MCDT,5,"
Upgraded from Oppo Find X2 Pro. Glad I did. Would not go back. Got the 256GB model and happy I did. Would definitely recommend especially if prices drop due to iPhone 14 launch.
"
33,B09G95MCDT,5,"
Daughter’s birthday present and she absolutely loved it.
"
34,B09G95MCDT,5,"
Only purchased after my Xs max was stolen, wanted to wait till iPhone 14 but having said that this version is a definite improvement over my previous model super slick better screen although slightly smaller (not being a max) battery lasts a couple of days between charges, I would say I’m a light to medium user I don’t use Facebook or the likes just a few what’s app messages Apple Music safari surfing & checking my share prices & call the wife on the way home.Have always used apple products for ease of use I have no problem being locked into their ecosystem & have no intention of moving to android.Would definitely recommend this model, just make sure you get a good case to protect it the screen repair prices are painful.
"
35,B09G95MCDT,4,"
As an Android user who didn’t have an iPhone since iPhone 4, I wanted to give it another go and the iOs is definitely a lot better now. Love the battery life on my iPhone 13. You can go a full day of heavy heavy use easily. One thing I don’t understand is that still to this date you cannot send pictures through bluetooth to another phone that is on Android… you will need to either send through Whatsapp (where you lose quality of the photo) or you will have to use and pay for a service such as Amazon Photos or google photos etc. Other than that it’s a really good phone but I hate those silly limitations such as the one above from Apple.
"
36,B09G95MCDT,5,"
Bought this when the IPhone 14 came out. Great price from Amazon and hardly any difference from the newly announced 14. Great buy.
"
37,B09G95MCDT,5,"
Super. Everything is just great. A great gadget at an adequate price.
"
38,B09G95MCDT,3,"
I decided to make the switch from Android as I was tempted by the excellent camera and premium brand/design.I was a little sad about forfeiting fingerprint ID, 120hz screen & excellent battery life but I need a great camera for work so on balance I went for it.I was disappointed I did. I can't believe a premium phone like this, costing double what my Android did, shipped with a faulty touch screen! It was as if I wasn't touching/tapping it and it was so bad I was intermittently unable to use the phone at all. I literally had to wait, put it down and come back to it, until it was willing to respond. I was okay with the downgrade the other features I mentioned but the touchscreen was kinda essential and therefore a deal-breaker!Thankfully Amazon are arranging a return & refund due the faulty touchscreen. Excellent service there.On the plus side, the photos I took while I had it were excellent as expected and the battery life was noticeably much better than previous iPhones I've used. The AMOLED screen was excellent.I can't comment on the accuracy of Face ID as I was wearing a mask most of the time and had to put my pin in whenever unlocking.If you're coming from an old iPhone you'll love it (if your coming from a nice Android you won't know the difference).
"
39,B09G95MCDT,4,"
I avoided previous iPhones due to how little they advance each time since iPhone 4.This one has flat edges which really improve the quality of the phone.
"
40,B09G95MCDT,3,"
They don't really tell you the Camera, while good, doesn't have optical zoom. This means any zooming is destructive and horrid. The pro is really the finished product. Thats what I should have got. If you don't take many photos, then it's fine. But nothing that much more special than an 11 or 12.
"
41,B09G95MCDT,5,"
Excellent product from Apple but, in my opinion, a little overpriced.  Bought for my wife's birthday and that is what she wanted but I have Samsung.  They are cheaper and just as good.
"
42,B09G95MCDT,5,"
Good job.
"
43,B09G95MCDT,5,"
My note 8 samsung is almost 5 years old and needed a replacement. So went for the iphone 13.Similar priced android phones have a relatively poor battery life and not as impressive camera. There is no telephoto zoom but so far i havent missed it a lot. I like android but have to say im getting fewer malware on ios ( this is my first iphone btw).The camera is stunning.Hope this phone will last another 5 /6 years.
"
44,B09G95MCDT,5,"
Great phone.
"
45,B09G95MCDT,5,"
Was initially hesitant on the colour as I thought it would be a little boring but it is really nice. Great size, previously had the XS Max and this was a nice downsize. Takes some stunning photos!
"
46,B09G95MCDT,5,"
I love it ones you have a iPhone it’s hard to replace it no regrets here , just the battery I thought that would keep longer , but if you’re watching videos all the time I guess that’s what happens you need to charge twice a day !
"
47,B09G95MCDT,3,"
Lovely to look at - and Apple user yet I prefer the central finger control. Often pressing screen over and over, rather than once.  Unclear how Apple justify the price.  Come on Apple - if you’re going to upgrade models do it well.
"
48,B09G95MCDT,5,"
After my iphone x developed a fault so intermittent it could not be found to be fixed I waited to the release of the iphone 13 as it was only a month away I checked the prices of the iphone 12 and for just £50 extra the obvious winner was the 13 with the new battery capacity I can report battery life is huge and quite often I only use 25%of battery each day and that includes using GPS I honestly now never run low on battery none of that topping up during the day stuff After owning a 4s 5 6s and X this upgrade is the best
"
49,B09G95MCDT,5,"
I can’t believe I get about 2 days of battery on the iPhone 13 if not on it all the time general use easy to use fast charge value for money
"
50,B09G95MCDT,5,"
Really good phone
"
51,B09G95MCDT,5,"
Love this Iphone. Very nice design, easy to use, long battery life.
"
52,B09G95MCDT,5,"
A step up from my ‘old’ iPhone 12 which has been passed down the line. Easy to transfer all info onto it and, bingo!, off we go.
"
53,B09G95MCDT,5,"
been using it for a long time now and it works amazing
"
54,B09G95MCDT,4,"
Bought it for my wife who loves the phone and says it is so much better than her old iPhone6. Bigger screen, better camera, and much improved battery life. But overly expensive.
"
55,B09G95MCDT,5,"
No scratches or issues! Phone works like new! It came in the original apple packaging.
"
56,B09G95MCDT,5,"
I really like the pastel pink and attention to detail  258GB. Very easy to set up feels more responsive than iPhone 12 and finally a sim tray from Apple where SIM card clicks in straight away I have struggled in the past with previous iPhones plus fab price on Amazon £100 cheaper than Apple
"
