,productCode,productName,productReviewNumber,productStar
0,B09G95MCDT,Apple iPhone 13 (128GB) - Midnight,"2,497",4.7
1,B09V43FPYG,Apple iPhone 13 (128 GB) - Green,"2,497",4.7
2,B09G9FB7LV,Apple iPhone 13 (128GB) - Starlight,"2,497",4.7
3,B09G997T36,Apple iPhone 13 Pro (128GB) - Sierra Blue,"1,246",4.7
4,B09MGFQ684,"Apple iPhone 13 Pro, 128GB, Sierra Blue (Renewed)",160,4.5
5,B09MGFJK73,"Apple iPhone 13, 128GB, Midnight (Renewed)",33,4.0
6,B09MGD52PV,"Apple iPhone 13, 128GB, Blue (Renewed)",21,4.4
7,B09MGGF9JG,"Apple iPhone 13, 128GB, Pink (Renewed)",12,3.9
8,B0BBPGSSFZ,"Apple iPhone 13, 128GB, Green - (Renewed)",3,4.3
9,B09MGDRQSS,"Apple iPhone 13, 128GB, Starlight (Renewed)",6,4.8
10,B09G99YSFG,Apple iPhone 13 (128GB) - Pink,"2,497",4.7
11,B0BBPFDTNZ,"Apple iPhone 13 Pro, 128GB, Alpine Green - (Renewed)",160,4.5
12,B09MGFWG9Q,"Apple iPhone 13 Pro Max, 128GB, Graphite (Renewed)",190,4.4
13,B09MGFMDFN,"Apple iPhone 13, 128GB, Red (Renewed)",16,4.5
14,B0BBP48ZTY,"Apple iPhone 13 Pro Max, 128GB, Alpine Green - (Renewed)",190,4.4
15,B09MGHBY7J,"Apple iPhone 13 Pro, 128GB, Graphite (Renewed)",160,4.5
16,B09MGFYFZP,"Apple iPhone 13 Pro Max, 128GB, Sierra Blue (Renewed)",190,4.4
17,B0BDJHR5DD,Apple iPhone 14 (128 GB) - Blue,637,4.4
18,B08PCCJP5C,"Apple iPhone 12, 128GB, Blue (Renewed)","1,375",4.3
19,B09G98SWCW,Apple iPhone 13 Pro (128GB) - Graphite,"1,246",4.7
20,B09G91CF3D,Apple iPhone 13 Pro Max (128GB) - Sierra Blue,"1,458",4.7
21,B08PCCKHJM,"Apple iPhone 12 Pro Max, 128GB, Pacific Blue (Renewed)","1,322",4.2
22,B08L5RD3KR,Apple iPhone 12 (128GB) - Black,"4,966",4.7
23,B0BDJ279KF,Apple iPhone 14 Pro (128 GB) - Deep Purple,652,4.6
24,B0BDHTRL5X,Apple iPhone 14 Pro Max (128 GB) - Silver,615,4.6
25,B0BDJH97ZD,Apple iPhone 14 (128 GB) - Starlight,637,4.4
26,B08PCCQT8D,"Apple iPhone 12 Pro Max, 128GB, Gold (Renewed)","1,322",4.2
27,B08PCDHMWQ,"Apple iPhone 12 Pro Max, 128GB, Graphite (Renewed)","1,322",4.2
28,B0BDJGM7JB,Apple iPhone 14 Plus (128 GB) - Blue,296,4.6
29,B0BDJ9B66D,Apple iPhone 14 Pro Max (128 GB) - Deep Purple,615,4.6
30,B08L5P5B68,Apple iPhone 12 (128GB) - White,"4,966",4.7
31,B08PCB8QCV,"Apple iPhone 12 Pro, 128GB, Pacific Blue (Renewed)","1,460",4.1
32,B09V4P7XP9,Apple iPhone 13 Pro (128 GB) - Alpine Green,"1,246",4.7
33,B0BDJ9Y7HP,Apple iPhone 14 Plus (128 GB) - Purple,296,4.6
34,B09MGFJN9R,"Apple iPhone 13 Pro Max, 128GB, Silver (Renewed)",190,4.4
35,B08PCDP3LM,"Apple iPhone 12 Pro, 128GB, Graphite (Renewed)","1,460",4.1
36,B0BDJJKPT2,Apple iPhone 14 (128 GB) - Purple,637,4.4
37,B082BHJ9G8,"Apple iPhone 11, 128GB, Black (Renewed)",270,4.2
38,B0BDJ52BBT,Apple iPhone 14 Pro Max (128 GB) - Gold,615,4.6
39,B09MGF7618,"Apple iPhone 13 Pro, 128GB, Silver (Renewed)",160,4.5
40,B09MGHJS6P,"Apple iPhone 13 Pro Max, 128GB, Gold (Renewed)",190,4.4
41,B09MGG7P3R,"Apple iPhone 13 Pro, 128GB, Gold (Renewed)",160,4.5
42,B08L5QVFCT,Apple iPhone 12 (128GB) - Blue,"4,966",4.7
43,B0BDHZ7BQD,Apple iPhone 14 Pro Max (128 GB) - Space Black,615,4.6
44,B08PCCZMMR,"Apple iPhone 12, 128GB, White (Renewed)","1,375",4.3
45,B0BDJB4WBK,Apple iPhone 14 Pro (128 GB) - Silver,652,4.6
46,B08L6YMGJX,Apple iPhone 11 (128GB) - White,"2,396",4.7
47,B08PCGL5TH,"Apple iPhone 12, 128GB, Black (Renewed)","1,375",4.3
