,productCode,productName,productReviewNumber,productStar
0,B09G95MCDT,Apple iPhone 13 (128GB) - Midnight,"2,505",4.7
1,B09G9HQHRH,Apple iPhone 13 (128GB) - Blue,"2,505",4.7
2,B09V43FPYG,Apple iPhone 13 (128 GB) - Green,"2,505",4.7
3,B09MGFQ684,"Apple iPhone 13 Pro, 128GB, Sierra Blue (Renewed)",163,4.4
4,B09G9FB7LV,Apple iPhone 13 (128GB) - Starlight,"2,505",4.7
5,B09G997T36,Apple iPhone 13 Pro (128GB) - Sierra Blue,"1,250",4.7
6,B09MGGF9JG,"Apple iPhone 13, 128GB, Pink (Renewed)",12,3.9
7,B09MGD52PV,"Apple iPhone 13, 128GB, Blue (Renewed)",21,4.4
8,B09MGFJK73,"Apple iPhone 13, 128GB, Midnight (Renewed)",34,4.0
9,B09MGDRQSS,"Apple iPhone 13, 128GB, Starlight (Renewed)",6,4.8
10,B0BBPGSSFZ,"Apple iPhone 13, 128GB, Green - (Renewed)",3,4.3
11,B0BBP48ZTY,"Apple iPhone 13 Pro Max, 128GB, Alpine Green - (Renewed)",199,4.4
12,B09MGFWG9Q,"Apple iPhone 13 Pro Max, 128GB, Graphite (Renewed)",199,4.4
13,B09MGFMDFN,"Apple iPhone 13, 128GB, Red (Renewed)",17,4.2
14,B09G9GFDW6,Apple iPhone 13 (128GB) - (PRODUCT) RED,"2,505",4.7
15,B09MGHBY7J,"Apple iPhone 13 Pro, 128GB, Graphite (Renewed)",163,4.4
16,B09MGG7P3R,"Apple iPhone 13 Pro, 128GB, Gold (Renewed)",163,4.4
17,B0BDJHR5DD,Apple iPhone 14 (128 GB) - Blue,668,4.5
18,B09MGFYFZP,"Apple iPhone 13 Pro Max, 128GB, Sierra Blue (Renewed)",199,4.4
19,B0BDJ9Y7HP,Apple iPhone 14 Plus (128 GB) - Purple,317,4.6
20,B08PCCJP5C,"Apple iPhone 12, 128GB, Blue (Renewed)","1,404",4.3
21,B09G98SWCW,Apple iPhone 13 Pro (128GB) - Graphite,"1,250",4.7
22,B0BDJH7J5C,Apple iPhone 14 (128 GB) - Midnight,668,4.5
23,B08PCCKHJM,"Apple iPhone 12 Pro Max, 128GB, Pacific Blue (Renewed)","1,342",4.1
24,B08L5RD3KR,Apple iPhone 12 (128GB) - Black,"(4,972)",4.7
